filename,D_u (mm^2/s),D_v (mm^2/s),F (1/s),k (1/s),delta_t (s),delta_x (mm),iterations,image_saved
000054.png,0.1,0.05,0.035,0.06429,1.0,1.0,10000,1
000055.png,0.1,0.05,0.035,0.06714,1.0,1.0,10000,0
000056.png,0.1,0.05,0.035,0.07,1.0,1.0,10000,0
000057.png,0.1,0.05,0.04,0.04143,1.0,1.0,10000,1
000058.png,0.1,0.05,0.04,0.04429,1.0,1.0,10000,1
000059.png,0.1,0.05,0.04,0.04714,1.0,1.0,10000,1
000060.png,0.1,0.05,0.04,0.05,1.0,1.0,10000,1
000061.png,0.1,0.05,0.04,0.05286,1.0,1.0,10000,1
000062.png,0.1,0.05,0.04,0.05571,1.0,1.0,10000,1
000063.png,0.1,0.05,0.04,0.05857,1.0,1.0,10000,1
000064.png,0.1,0.05,0.04,0.06143,1.0,1.0,10000,1
000065.png,0.1,0.05,0.04,0.06429,1.0,1.0,10000,1
000066.png,0.1,0.05,0.04,0.06714,1.0,1.0,10000,0
000067.png,0.1,0.05,0.04,0.07,1.0,1.0,10000,0
000068.png,0.1,0.05,0.045,0.04714,1.0,1.0,10000,1
000069.png,0.1,0.05,0.045,0.05,1.0,1.0,10000,1
000070.png,0.1,0.05,0.045,0.05286,1.0,1.0,10000,1
000071.png,0.1,0.05,0.045,0.05571,1.0,1.0,10000,1
000072.png,0.1,0.05,0.045,0.05857,1.0,1.0,10000,1
000073.png,0.1,0.05,0.045,0.06143,1.0,1.0,10000,1
000074.png,0.1,0.05,0.045,0.06429,1.0,1.0,10000,1
000075.png,0.1,0.05,0.045,0.06714,1.0,1.0,10000,0
000076.png,0.1,0.05,0.045,0.07,1.0,1.0,10000,0
000077.png,0.1,0.05,0.05,0.05,1.0,1.0,10000,1
000078.png,0.1,0.05,0.05,0.05286,1.0,1.0,10000,1
000079.png,0.1,0.05,0.05,0.05571,1.0,1.0,10000,1
000080.png,0.1,0.05,0.05,0.05857,1.0,1.0,10000,1
000081.png,0.1,0.05,0.05,0.06143,1.0,1.0,10000,1
000082.png,0.1,0.05,0.05,0.06429,1.0,1.0,10000,1
000083.png,0.1,0.05,0.05,0.06714,1.0,1.0,10000,1
000084.png,0.1,0.05,0.05,0.07,1.0,1.0,10000,0
000085.png,0.1,0.05,0.055,0.05571,1.0,1.0,10000,1
000086.png,0.1,0.05,0.055,0.05857,1.0,1.0,10000,1
000087.png,0.1,0.05,0.055,0.06143,1.0,1.0,10000,1
000088.png,0.1,0.05,0.055,0.06429,1.0,1.0,10000,1
000089.png,0.1,0.05,0.055,0.06714,1.0,1.0,10000,1
000090.png,0.1,0.05,0.055,0.07,1.0,1.0,10000,0
000091.png,0.1,0.05,0.06,0.06143,1.0,1.0,10000,1
000092.png,0.1,0.05,0.06,0.06429,1.0,1.0,10000,1
000093.png,0.1,0.05,0.06,0.06714,1.0,1.0,10000,0
000094.png,0.1,0.05,0.06,0.07,1.0,1.0,10000,0
000095.png,0.1,0.05,0.065,0.06714,1.0,1.0,10000,0
000096.png,0.1,0.05,0.065,0.07,1.0,1.0,10000,0
000097.png,0.1,0.05,0.07,0.07,1.0,1.0,10000,0
000098.png,0.1,0.06071,0.02,0.03,1.0,1.0,10000,1
000099.png,0.1,0.06071,0.02,0.03286,1.0,1.0,10000,1
000100.png,0.1,0.06071,0.02,0.03571,1.0,1.0,10000,1
000101.png,0.1,0.06071,0.02,0.03857,1.0,1.0,10000,1
000102.png,0.1,0.06071,0.02,0.04143,1.0,1.0,10000,1
000103.png,0.1,0.06071,0.02,0.04429,1.0,1.0,10000,1
000104.png,0.1,0.06071,0.02,0.04714,1.0,1.0,10000,1
000105.png,0.1,0.06071,0.02,0.05,1.0,1.0,10000,1
000106.png,0.1,0.06071,0.02,0.05286,1.0,1.0,10000,1
000107.png,0.1,0.06071,0.02,0.05571,1.0,1.0,10000,1
000108.png,0.1,0.06071,0.02,0.05857,1.0,1.0,10000,0
000109.png,0.1,0.06071,0.02,0.06143,1.0,1.0,10000,0
000110.png,0.1,0.06071,0.02,0.06429,1.0,1.0,10000,0
000111.png,0.1,0.06071,0.02,0.06714,1.0,1.0,10000,0
000112.png,0.1,0.06071,0.02,0.07,1.0,1.0,10000,0
000113.png,0.1,0.06071,0.025,0.03,1.0,1.0,10000,1
000114.png,0.1,0.06071,0.025,0.03286,1.0,1.0,10000,1
000115.png,0.1,0.06071,0.025,0.03571,1.0,1.0,10000,1
000116.png,0.1,0.06071,0.025,0.03857,1.0,1.0,10000,1
000117.png,0.1,0.06071,0.025,0.04143,1.0,1.0,10000,1
000118.png,0.1,0.06071,0.025,0.04429,1.0,1.0,10000,1
000119.png,0.1,0.06071,0.025,0.04714,1.0,1.0,10000,1
000120.png,0.1,0.06071,0.025,0.05,1.0,1.0,10000,1
000121.png,0.1,0.06071,0.025,0.05286,1.0,1.0,10000,1
000122.png,0.1,0.06071,0.025,0.05571,1.0,1.0,10000,1
000123.png,0.1,0.06071,0.025,0.05857,1.0,1.0,10000,1
000124.png,0.1,0.06071,0.025,0.06143,1.0,1.0,10000,0
000125.png,0.1,0.06071,0.025,0.06429,1.0,1.0,10000,0
000126.png,0.1,0.06071,0.025,0.06714,1.0,1.0,10000,0
000127.png,0.1,0.06071,0.025,0.07,1.0,1.0,10000,0
000128.png,0.1,0.06071,0.03,0.03286,1.0,1.0,10000,1
000129.png,0.1,0.06071,0.03,0.03571,1.0,1.0,10000,1
000130.png,0.1,0.06071,0.03,0.03857,1.0,1.0,10000,1
000131.png,0.1,0.06071,0.03,0.04143,1.0,1.0,10000,1
000132.png,0.1,0.06071,0.03,0.04429,1.0,1.0,10000,1
000133.png,0.1,0.06071,0.03,0.04714,1.0,1.0,10000,1
000134.png,0.1,0.06071,0.03,0.05,1.0,1.0,10000,1
000135.png,0.1,0.06071,0.03,0.05286,1.0,1.0,10000,1
000136.png,0.1,0.06071,0.03,0.05571,1.0,1.0,10000,1
000137.png,0.1,0.06071,0.03,0.05857,1.0,1.0,10000,1
000138.png,0.1,0.06071,0.03,0.06143,1.0,1.0,10000,0
000139.png,0.1,0.06071,0.03,0.06429,1.0,1.0,10000,0
000140.png,0.1,0.06071,0.03,0.06714,1.0,1.0,10000,0
000141.png,0.1,0.06071,0.03,0.07,1.0,1.0,10000,0
000142.png,0.1,0.06071,0.035,0.03571,1.0,1.0,10000,1
000143.png,0.1,0.06071,0.035,0.03857,1.0,1.0,10000,1
000144.png,0.1,0.06071,0.035,0.04143,1.0,1.0,10000,1
000145.png,0.1,0.06071,0.035,0.04429,1.0,1.0,10000,1
000146.png,0.1,0.06071,0.035,0.04714,1.0,1.0,10000,1
000147.png,0.1,0.06071,0.035,0.05,1.0,1.0,10000,1
000148.png,0.1,0.06071,0.035,0.05286,1.0,1.0,10000,1
000149.png,0.1,0.06071,0.035,0.05571,1.0,1.0,10000,1
000150.png,0.1,0.06071,0.035,0.05857,1.0,1.0,10000,1
000151.png,0.1,0.06071,0.035,0.06143,1.0,1.0,10000,1
000152.png,0.1,0.06071,0.035,0.06429,1.0,1.0,10000,0
000153.png,0.1,0.06071,0.035,0.06714,1.0,1.0,10000,0
000154.png,0.1,0.06071,0.035,0.07,1.0,1.0,10000,0
000155.png,0.1,0.06071,0.04,0.04143,1.0,1.0,10000,1
000156.png,0.1,0.06071,0.04,0.04429,1.0,1.0,10000,1
000157.png,0.1,0.06071,0.04,0.04714,1.0,1.0,10000,1
000158.png,0.1,0.06071,0.04,0.05,1.0,1.0,10000,1
000159.png,0.1,0.06071,0.04,0.05286,1.0,1.0,10000,1
000160.png,0.1,0.06071,0.04,0.05571,1.0,1.0,10000,1
000161.png,0.1,0.06071,0.04,0.05857,1.0,1.0,10000,1
000162.png,0.1,0.06071,0.04,0.06143,1.0,1.0,10000,1
000163.png,0.1,0.06071,0.04,0.06429,1.0,1.0,10000,0
000164.png,0.1,0.06071,0.04,0.06714,1.0,1.0,10000,0
000165.png,0.1,0.06071,0.04,0.07,1.0,1.0,10000,0
000166.png,0.1,0.06071,0.045,0.04714,1.0,1.0,10000,1
000167.png,0.1,0.06071,0.045,0.05,1.0,1.0,10000,1
000168.png,0.1,0.06071,0.045,0.05286,1.0,1.0,10000,1
000169.png,0.1,0.06071,0.045,0.05571,1.0,1.0,10000,1
000170.png,0.1,0.06071,0.045,0.05857,1.0,1.0,10000,1
000171.png,0.1,0.06071,0.045,0.06143,1.0,1.0,10000,1
000172.png,0.1,0.06071,0.045,0.06429,1.0,1.0,10000,0
000173.png,0.1,0.06071,0.045,0.06714,1.0,1.0,10000,0
000174.png,0.1,0.06071,0.045,0.07,1.0,1.0,10000,0
000175.png,0.1,0.06071,0.05,0.05,1.0,1.0,10000,1
000176.png,0.1,0.06071,0.05,0.05286,1.0,1.0,10000,1
000177.png,0.1,0.06071,0.05,0.05571,1.0,1.0,10000,1
000178.png,0.1,0.06071,0.05,0.05857,1.0,1.0,10000,1
000179.png,0.1,0.06071,0.05,0.06143,1.0,1.0,10000,1
000180.png,0.1,0.06071,0.05,0.06429,1.0,1.0,10000,0
000181.png,0.1,0.06071,0.05,0.06714,1.0,1.0,10000,0
000182.png,0.1,0.06071,0.05,0.07,1.0,1.0,10000,0
000183.png,0.1,0.06071,0.055,0.05571,1.0,1.0,10000,1
000184.png,0.1,0.06071,0.055,0.05857,1.0,1.0,10000,1
000185.png,0.1,0.06071,0.055,0.06143,1.0,1.0,10000,1
000186.png,0.1,0.06071,0.055,0.06429,1.0,1.0,10000,0
000187.png,0.1,0.06071,0.055,0.06714,1.0,1.0,10000,0
000188.png,0.1,0.06071,0.055,0.07,1.0,1.0,10000,0
000189.png,0.1,0.06071,0.06,0.06143,1.0,1.0,10000,1
000190.png,0.1,0.06071,0.06,0.06429,1.0,1.0,10000,0
000191.png,0.1,0.06071,0.06,0.06714,1.0,1.0,10000,0
000192.png,0.1,0.06071,0.06,0.07,1.0,1.0,10000,0
000193.png,0.1,0.06071,0.065,0.06714,1.0,1.0,10000,0
000194.png,0.1,0.06071,0.065,0.07,1.0,1.0,10000,0
000195.png,0.1,0.06071,0.07,0.07,1.0,1.0,10000,0
000196.png,0.1,0.07143,0.02,0.03,1.0,1.0,10000,1
000197.png,0.1,0.07143,0.02,0.03286,1.0,1.0,10000,1
000198.png,0.1,0.07143,0.02,0.03571,1.0,1.0,10000,1
000199.png,0.1,0.07143,0.02,0.03857,1.0,1.0,10000,1
000200.png,0.1,0.07143,0.02,0.04143,1.0,1.0,10000,1
000201.png,0.1,0.07143,0.02,0.04429,1.0,1.0,10000,1
000202.png,0.1,0.07143,0.02,0.04714,1.0,1.0,10000,1
000203.png,0.1,0.07143,0.02,0.05,1.0,1.0,10000,0
000204.png,0.1,0.07143,0.02,0.05286,1.0,1.0,10000,1
000205.png,0.1,0.07143,0.02,0.05571,1.0,1.0,10000,0
000206.png,0.1,0.07143,0.02,0.05857,1.0,1.0,10000,0
000207.png,0.1,0.07143,0.02,0.06143,1.0,1.0,10000,0
000208.png,0.1,0.07143,0.02,0.06429,1.0,1.0,10000,0
000209.png,0.1,0.07143,0.02,0.06714,1.0,1.0,10000,0
000210.png,0.1,0.07143,0.02,0.07,1.0,1.0,10000,0
000211.png,0.1,0.07143,0.025,0.03,1.0,1.0,10000,1
000212.png,0.1,0.07143,0.025,0.03286,1.0,1.0,10000,1
000213.png,0.1,0.07143,0.025,0.03571,1.0,1.0,10000,1
000214.png,0.1,0.07143,0.025,0.03857,1.0,1.0,10000,1
000215.png,0.1,0.07143,0.025,0.04143,1.0,1.0,10000,1
000216.png,0.1,0.07143,0.025,0.04429,1.0,1.0,10000,1
000217.png,0.1,0.07143,0.025,0.04714,1.0,1.0,10000,1
000218.png,0.1,0.07143,0.025,0.05,1.0,1.0,10000,1
000219.png,0.1,0.07143,0.025,0.05286,1.0,1.0,10000,1
000220.png,0.1,0.07143,0.025,0.05571,1.0,1.0,10000,1
000221.png,0.1,0.07143,0.025,0.05857,1.0,1.0,10000,0
000222.png,0.1,0.07143,0.025,0.06143,1.0,1.0,10000,0
000223.png,0.1,0.07143,0.025,0.06429,1.0,1.0,10000,0
000224.png,0.1,0.07143,0.025,0.06714,1.0,1.0,10000,0
000225.png,0.1,0.07143,0.025,0.07,1.0,1.0,10000,0
000226.png,0.1,0.07143,0.03,0.03286,1.0,1.0,10000,1
000227.png,0.1,0.07143,0.03,0.03571,1.0,1.0,10000,1
000228.png,0.1,0.07143,0.03,0.03857,1.0,1.0,10000,1
000229.png,0.1,0.07143,0.03,0.04143,1.0,1.0,10000,1
000230.png,0.1,0.07143,0.03,0.04429,1.0,1.0,10000,1
000231.png,0.1,0.07143,0.03,0.04714,1.0,1.0,10000,1
000232.png,0.1,0.07143,0.03,0.05,1.0,1.0,10000,1
000233.png,0.1,0.07143,0.03,0.05286,1.0,1.0,10000,1
000234.png,0.1,0.07143,0.03,0.05571,1.0,1.0,10000,1
000235.png,0.1,0.07143,0.03,0.05857,1.0,1.0,10000,1
000236.png,0.1,0.07143,0.03,0.06143,1.0,1.0,10000,0
000237.png,0.1,0.07143,0.03,0.06429,1.0,1.0,10000,0
000238.png,0.1,0.07143,0.03,0.06714,1.0,1.0,10000,0
000239.png,0.1,0.07143,0.03,0.07,1.0,1.0,10000,0
000240.png,0.1,0.07143,0.035,0.03571,1.0,1.0,10000,1
000241.png,0.1,0.07143,0.035,0.03857,1.0,1.0,10000,1
000242.png,0.1,0.07143,0.035,0.04143,1.0,1.0,10000,1
000243.png,0.1,0.07143,0.035,0.04429,1.0,1.0,10000,1
000244.png,0.1,0.07143,0.035,0.04714,1.0,1.0,10000,1
000245.png,0.1,0.07143,0.035,0.05,1.0,1.0,10000,1
000246.png,0.1,0.07143,0.035,0.05286,1.0,1.0,10000,1
000247.png,0.1,0.07143,0.035,0.05571,1.0,1.0,10000,1
000248.png,0.1,0.07143,0.035,0.05857,1.0,1.0,10000,1
000249.png,0.1,0.07143,0.035,0.06143,1.0,1.0,10000,0
000250.png,0.1,0.07143,0.035,0.06429,1.0,1.0,10000,0
000251.png,0.1,0.07143,0.035,0.06714,1.0,1.0,10000,0
000252.png,0.1,0.07143,0.035,0.07,1.0,1.0,10000,0
000253.png,0.1,0.07143,0.04,0.04143,1.0,1.0,10000,1
000254.png,0.1,0.07143,0.04,0.04429,1.0,1.0,10000,1
000255.png,0.1,0.07143,0.04,0.04714,1.0,1.0,10000,1
000256.png,0.1,0.07143,0.04,0.05,1.0,1.0,10000,1
000257.png,0.1,0.07143,0.04,0.05286,1.0,1.0,10000,1
000258.png,0.1,0.07143,0.04,0.05571,1.0,1.0,10000,1
000259.png,0.1,0.07143,0.04,0.05857,1.0,1.0,10000,1
000260.png,0.1,0.07143,0.04,0.06143,1.0,1.0,10000,0
000261.png,0.1,0.07143,0.04,0.06429,1.0,1.0,10000,0
000262.png,0.1,0.07143,0.04,0.06714,1.0,1.0,10000,0
000263.png,0.1,0.07143,0.04,0.07,1.0,1.0,10000,0
000264.png,0.1,0.07143,0.045,0.04714,1.0,1.0,10000,1
000265.png,0.1,0.07143,0.045,0.05,1.0,1.0,10000,1
000266.png,0.1,0.07143,0.045,0.05286,1.0,1.0,10000,1
000267.png,0.1,0.07143,0.045,0.05571,1.0,1.0,10000,1
000268.png,0.1,0.07143,0.045,0.05857,1.0,1.0,10000,1
000269.png,0.1,0.07143,0.045,0.06143,1.0,1.0,10000,0
000270.png,0.1,0.07143,0.045,0.06429,1.0,1.0,10000,0
000271.png,0.1,0.07143,0.045,0.06714,1.0,1.0,10000,0
000272.png,0.1,0.07143,0.045,0.07,1.0,1.0,10000,0
000273.png,0.1,0.07143,0.05,0.05,1.0,1.0,10000,1
000274.png,0.1,0.07143,0.05,0.05286,1.0,1.0,10000,1
000275.png,0.1,0.07143,0.05,0.05571,1.0,1.0,10000,1
000276.png,0.1,0.07143,0.05,0.05857,1.0,1.0,10000,1
000277.png,0.1,0.07143,0.05,0.06143,1.0,1.0,10000,1
000278.png,0.1,0.07143,0.05,0.06429,1.0,1.0,10000,0
000279.png,0.1,0.07143,0.05,0.06714,1.0,1.0,10000,0
000280.png,0.1,0.07143,0.05,0.07,1.0,1.0,10000,0
000281.png,0.1,0.07143,0.055,0.05571,1.0,1.0,10000,1
000282.png,0.1,0.07143,0.055,0.05857,1.0,1.0,10000,1
000283.png,0.1,0.07143,0.055,0.06143,1.0,1.0,10000,1
000284.png,0.1,0.07143,0.055,0.06429,1.0,1.0,10000,0
000285.png,0.1,0.07143,0.055,0.06714,1.0,1.0,10000,0
000286.png,0.1,0.07143,0.055,0.07,1.0,1.0,10000,0
000287.png,0.1,0.07143,0.06,0.06143,1.0,1.0,10000,0
000288.png,0.1,0.07143,0.06,0.06429,1.0,1.0,10000,0
000289.png,0.1,0.07143,0.06,0.06714,1.0,1.0,10000,0
000290.png,0.1,0.07143,0.06,0.07,1.0,1.0,10000,0
000291.png,0.1,0.07143,0.065,0.06714,1.0,1.0,10000,0
000292.png,0.1,0.07143,0.065,0.07,1.0,1.0,10000,0
000293.png,0.1,0.07143,0.07,0.07,1.0,1.0,10000,0
000294.png,0.1,0.08214,0.02,0.03,1.0,1.0,10000,1
000295.png,0.1,0.08214,0.02,0.03286,1.0,1.0,10000,1
000296.png,0.1,0.08214,0.02,0.03571,1.0,1.0,10000,1
000297.png,0.1,0.08214,0.02,0.03857,1.0,1.0,10000,1
000298.png,0.1,0.08214,0.02,0.04143,1.0,1.0,10000,1
000299.png,0.1,0.08214,0.02,0.04429,1.0,1.0,10000,1
000300.png,0.1,0.08214,0.02,0.04714,1.0,1.0,10000,1
000301.png,0.1,0.08214,0.02,0.05,1.0,1.0,10000,0
000302.png,0.1,0.08214,0.02,0.05286,1.0,1.0,10000,0
000303.png,0.1,0.08214,0.02,0.05571,1.0,1.0,10000,0
000304.png,0.1,0.08214,0.02,0.05857,1.0,1.0,10000,0
000305.png,0.1,0.08214,0.02,0.06143,1.0,1.0,10000,0
000306.png,0.1,0.08214,0.02,0.06429,1.0,1.0,10000,0
000307.png,0.1,0.08214,0.02,0.06714,1.0,1.0,10000,0
000308.png,0.1,0.08214,0.02,0.07,1.0,1.0,10000,0
000309.png,0.1,0.08214,0.025,0.03,1.0,1.0,10000,1
000310.png,0.1,0.08214,0.025,0.03286,1.0,1.0,10000,1
000311.png,0.1,0.08214,0.025,0.03571,1.0,1.0,10000,1
000312.png,0.1,0.08214,0.025,0.03857,1.0,1.0,10000,1
000313.png,0.1,0.08214,0.025,0.04143,1.0,1.0,10000,1
000314.png,0.1,0.08214,0.025,0.04429,1.0,1.0,10000,1
000315.png,0.1,0.08214,0.025,0.04714,1.0,1.0,10000,1
000316.png,0.1,0.08214,0.025,0.05,1.0,1.0,10000,1
000317.png,0.1,0.08214,0.025,0.05286,1.0,1.0,10000,1
000318.png,0.1,0.08214,0.025,0.05571,1.0,1.0,10000,0
000319.png,0.1,0.08214,0.025,0.05857,1.0,1.0,10000,0
000320.png,0.1,0.08214,0.025,0.06143,1.0,1.0,10000,0
000321.png,0.1,0.08214,0.025,0.06429,1.0,1.0,10000,0
000322.png,0.1,0.08214,0.025,0.06714,1.0,1.0,10000,0
000323.png,0.1,0.08214,0.025,0.07,1.0,1.0,10000,0
000324.png,0.1,0.08214,0.03,0.03286,1.0,1.0,10000,1
000325.png,0.1,0.08214,0.03,0.03571,1.0,1.0,10000,1
000326.png,0.1,0.08214,0.03,0.03857,1.0,1.0,10000,1
000327.png,0.1,0.08214,0.03,0.04143,1.0,1.0,10000,1
000328.png,0.1,0.08214,0.03,0.04429,1.0,1.0,10000,1
000329.png,0.1,0.08214,0.03,0.04714,1.0,1.0,10000,1
000330.png,0.1,0.08214,0.03,0.05,1.0,1.0,10000,1
000331.png,0.1,0.08214,0.03,0.05286,1.0,1.0,10000,1
000332.png,0.1,0.08214,0.03,0.05571,1.0,1.0,10000,1
000333.png,0.1,0.08214,0.03,0.05857,1.0,1.0,10000,0
000334.png,0.1,0.08214,0.03,0.06143,1.0,1.0,10000,0
000335.png,0.1,0.08214,0.03,0.06429,1.0,1.0,10000,0
000336.png,0.1,0.08214,0.03,0.06714,1.0,1.0,10000,0
000337.png,0.1,0.08214,0.03,0.07,1.0,1.0,10000,0
000338.png,0.1,0.08214,0.035,0.03571,1.0,1.0,10000,1
000339.png,0.1,0.08214,0.035,0.03857,1.0,1.0,10000,1
000340.png,0.1,0.08214,0.035,0.04143,1.0,1.0,10000,1
000341.png,0.1,0.08214,0.035,0.04429,1.0,1.0,10000,1
000342.png,0.1,0.08214,0.035,0.04714,1.0,1.0,10000,1
000343.png,0.1,0.08214,0.035,0.05,1.0,1.0,10000,1
000344.png,0.1,0.08214,0.035,0.05286,1.0,1.0,10000,1
000345.png,0.1,0.08214,0.035,0.05571,1.0,1.0,10000,1
000346.png,0.1,0.08214,0.035,0.05857,1.0,1.0,10000,0
000347.png,0.1,0.08214,0.035,0.06143,1.0,1.0,10000,0
000348.png,0.1,0.08214,0.035,0.06429,1.0,1.0,10000,0
000349.png,0.1,0.08214,0.035,0.06714,1.0,1.0,10000,0
000350.png,0.1,0.08214,0.035,0.07,1.0,1.0,10000,0
000351.png,0.1,0.08214,0.04,0.04143,1.0,1.0,10000,1
000352.png,0.1,0.08214,0.04,0.04429,1.0,1.0,10000,1
000353.png,0.1,0.08214,0.04,0.04714,1.0,1.0,10000,1
000354.png,0.1,0.08214,0.04,0.05,1.0,1.0,10000,1
000355.png,0.1,0.08214,0.04,0.05286,1.0,1.0,10000,1
000356.png,0.1,0.08214,0.04,0.05571,1.0,1.0,10000,1
000357.png,0.1,0.08214,0.04,0.05857,1.0,1.0,10000,1
000358.png,0.1,0.08214,0.04,0.06143,1.0,1.0,10000,0
000359.png,0.1,0.08214,0.04,0.06429,1.0,1.0,10000,0
000360.png,0.1,0.08214,0.04,0.06714,1.0,1.0,10000,0
000361.png,0.1,0.08214,0.04,0.07,1.0,1.0,10000,0
000362.png,0.1,0.08214,0.045,0.04714,1.0,1.0,10000,1
000363.png,0.1,0.08214,0.045,0.05,1.0,1.0,10000,1
000364.png,0.1,0.08214,0.045,0.05286,1.0,1.0,10000,1
000365.png,0.1,0.08214,0.045,0.05571,1.0,1.0,10000,1
000366.png,0.1,0.08214,0.045,0.05857,1.0,1.0,10000,1
000367.png,0.1,0.08214,0.045,0.06143,1.0,1.0,10000,0
000368.png,0.1,0.08214,0.045,0.06429,1.0,1.0,10000,0
000369.png,0.1,0.08214,0.045,0.06714,1.0,1.0,10000,0
000370.png,0.1,0.08214,0.045,0.07,1.0,1.0,10000,0
000371.png,0.1,0.08214,0.05,0.05,1.0,1.0,10000,1
000372.png,0.1,0.08214,0.05,0.05286,1.0,1.0,10000,1
000373.png,0.1,0.08214,0.05,0.05571,1.0,1.0,10000,1
000374.png,0.1,0.08214,0.05,0.05857,1.0,1.0,10000,1
000375.png,0.1,0.08214,0.05,0.06143,1.0,1.0,10000,0
000376.png,0.1,0.08214,0.05,0.06429,1.0,1.0,10000,0
000377.png,0.1,0.08214,0.05,0.06714,1.0,1.0,10000,0
000378.png,0.1,0.08214,0.05,0.07,1.0,1.0,10000,0
000379.png,0.1,0.08214,0.055,0.05571,1.0,1.0,10000,1
000380.png,0.1,0.08214,0.055,0.05857,1.0,1.0,10000,1
000381.png,0.1,0.08214,0.055,0.06143,1.0,1.0,10000,0
000382.png,0.1,0.08214,0.055,0.06429,1.0,1.0,10000,0
000383.png,0.1,0.08214,0.055,0.06714,1.0,1.0,10000,0
000384.png,0.1,0.08214,0.055,0.07,1.0,1.0,10000,0
000385.png,0.1,0.08214,0.06,0.06143,1.0,1.0,10000,0
000386.png,0.1,0.08214,0.06,0.06429,1.0,1.0,10000,0
000387.png,0.1,0.08214,0.06,0.06714,1.0,1.0,10000,0
000388.png,0.1,0.08214,0.06,0.07,1.0,1.0,10000,0
000389.png,0.1,0.08214,0.065,0.06714,1.0,1.0,10000,0
